day,trades,profit_usdt,wins,losses
2025-10-22,12,-165.16040841,3,9
2025-10-23,18,14.511083720000007,9,9
2025-10-24,18,175.88871412,10,8
2025-10-25,18,22.888168890000003,9,9
2025-10-26,16,223.91379727,9,7
2025-10-27,21,62.70547475000001,12,9
2025-10-28,26,-41.023757589999995,10,16
2025-10-29,30,-94.20328864000003,16,14
2025-10-30,24,-137.74310745999998,11,13
2025-10-31,15,-227.57282066,4,11
2025-11-01,14,-33.02894516,4,10
2025-11-02,14,-28.760723760000005,7,7
2025-11-03,15,49.20693875,10,5
2025-11-04,35,210.96728097000002,23,12
2025-11-05,18,-120.48273127,10,8
2025-11-06,21,-142.48674604,5,16
2025-11-07,22,103.88445293999999,11,11
2025-11-08,7,1.2023616399999995,4,3
2025-11-09,7,45.79069428,4,3
2025-11-10,30,203.43647188,18,12
2025-11-11,28,218.7532246,14,14
2025-11-12,31,-44.81687619,17,14
2025-11-13,35,157.33240217,24,11
2025-11-14,34,-246.73745882,11,23
2025-11-15,9,-40.96218046,3,5
2025-11-16,25,-186.67022037,8,17
2025-11-17,25,87.97865148,12,13
2025-11-18,25,199.3327746,18,7
2025-11-19,29,40.881777250000006,15,14
2025-11-20,16,-505.01020108,6,10
2025-11-21,3,-581.29596027,0,3
